Uji,Shape,Speed_cm_s,Pitch,Roll,Iter,ROS_MAE_mm,ROS_RMSE_mm,ROS_MaxErr_mm,CV_Abs_MAE_mm,CV_Abs_RMSE_mm,CV_Abs_MaxErr_mm,CV_Shape_MAE_mm,CV_Shape_RMSE_mm,CV_Shape_MaxErr_mm,CV_Offset_mm
Uji_1_Repeatability,circle,5,0,0,1,6.491,8.057,12.447,1.552,1.805,2.997,0.172,0.232,1.0,2.152
Uji_1_Repeatability,circle,5,0,0,2,6.187,7.886,12.424,1.422,1.675,2.786,0.165,0.223,0.906,1.922
Uji_1_Repeatability,circle,5,0,0,3,6.208,7.888,12.686,1.442,1.693,2.846,0.173,0.239,1.1,1.997
Uji_1_Repeatability,circle,5,0,0,4,6.107,7.864,12.876,1.428,1.682,2.844,0.158,0.226,1.02,1.964
Uji_1_Repeatability,circle,5,0,0,5,6.331,8.004,12.457,1.426,1.678,2.818,0.169,0.234,1.1,1.997
Uji_1_Repeatability,circle,5,0,0,6,6.031,7.772,12.387,1.439,1.684,2.778,0.185,0.256,1.1,1.956
Uji_1_Repeatability,circle,5,0,0,7,6.223,7.846,12.353,1.358,1.593,2.608,0.192,0.262,1.2,1.814
Uji_1_Repeatability,circle,5,0,0,8,5.998,7.747,12.544,1.412,1.661,2.786,0.187,0.252,1.2,1.946
Uji_1_Repeatability,circle,5,0,0,9,5.929,7.671,12.272,1.39,1.63,2.72,0.166,0.221,1.0,1.914
Uji_1_Repeatability,circle,5,0,0,10,5.764,7.609,12.48,1.432,1.67,2.751,0.187,0.257,1.2,1.956
Uji_1_Repeatability,square,5,0,0,1,6.522,7.891,12.232,1.307,1.483,2.8,0.543,0.659,1.5,1.897
Uji_1_Repeatability,square,5,0,0,2,6.067,7.6,12.108,1.32,1.478,2.7,0.553,0.672,1.5,1.88
Uji_1_Repeatability,square,5,0,0,3,6.163,7.65,12.081,1.349,1.537,2.8,0.535,0.652,1.4,1.987
Uji_1_Repeatability,square,5,0,0,4,5.846,7.431,12.016,1.363,1.555,2.9,0.54,0.663,1.4,2.014
Uji_1_Repeatability,square,5,0,0,5,5.784,7.413,12.257,1.329,1.518,2.9,0.525,0.633,1.2,1.967
Uji_1_Repeatability,square,5,0,0,6,6.33,7.759,12.198,1.353,1.528,2.9,0.554,0.679,1.4,1.951
Uji_1_Repeatability,square,5,0,0,7,5.726,7.375,12.225,1.424,1.63,3.1,0.556,0.671,1.4,2.118
Uji_1_Repeatability,square,5,0,0,8,6.111,7.606,12.311,1.395,1.598,3.0,0.54,0.65,1.5,2.084
Uji_1_Repeatability,square,5,0,0,9,5.802,7.394,12.488,1.356,1.552,3.0,0.533,0.651,1.4,2.013
Uji_1_Repeatability,square,5,0,0,10,5.867,7.484,12.495,1.369,1.559,2.9,0.528,0.645,1.4,2.026
Uji_1_Repeatability,triangle,5,0,0,1,5.48,7.167,11.855,1.362,1.439,2.46,0.4,0.485,1.208,1.929
Uji_1_Repeatability,triangle,5,0,0,2,5.699,7.307,11.991,1.354,1.436,2.46,0.37,0.456,1.204,1.936
Uji_1_Repeatability,triangle,5,0,0,3,5.454,7.171,11.952,1.378,1.454,2.46,0.411,0.497,1.208,1.941
Uji_1_Repeatability,triangle,5,0,0,4,5.763,7.319,11.95,1.352,1.431,2.419,0.4,0.485,1.166,1.913
Uji_1_Repeatability,triangle,5,0,0,5,5.841,7.399,12.052,1.34,1.415,2.46,0.387,0.485,1.432,1.905
Uji_1_Repeatability,triangle,5,0,0,6,5.68,7.241,11.867,1.286,1.366,2.417,0.392,0.474,1.208,1.823
Uji_1_Repeatability,triangle,5,0,0,7,6.081,7.56,11.879,1.306,1.382,2.417,0.396,0.484,1.253,1.851
Uji_1_Repeatability,triangle,5,0,0,8,5.81,7.358,11.809,1.284,1.358,2.371,0.384,0.462,1.166,1.825
Uji_1_Repeatability,triangle,5,0,0,9,5.619,7.227,11.911,1.313,1.386,2.332,0.389,0.478,1.253,1.87
Uji_1_Repeatability,triangle,5,0,0,10,5.907,7.427,11.931,1.304,1.383,2.371,0.396,0.484,1.253,1.861
