Uji,Shape,Speed_cm_s,Pitch,Roll,Iter,ROS_MAE_mm,ROS_RMSE_mm,ROS_MaxErr_mm,CV_Abs_MAE_mm,CV_Abs_RMSE_mm,CV_Abs_MaxErr_mm,CV_Shape_MAE_mm,CV_Shape_RMSE_mm,CV_Shape_MaxErr_mm,CV_Offset_mm
Uji_2_Speed,circle,1,0,0,1,2.029,2.423,11.263,2.145,2.387,3.7,0.176,0.215,0.6,3.311
Uji_2_Speed,circle,1,0,0,2,2.062,2.441,11.447,2.226,2.482,3.828,0.166,0.207,0.6,3.459
Uji_2_Speed,circle,1,0,0,3,2.043,2.431,11.123,2.14,2.389,3.7,0.16,0.199,0.5,3.332
Uji_2_Speed,circle,5,0,0,1,6.491,8.057,12.447,1.552,1.805,2.997,0.172,0.232,1.0,2.152
Uji_2_Speed,circle,5,0,0,2,6.187,7.886,12.424,1.422,1.675,2.786,0.165,0.223,0.906,1.922
Uji_2_Speed,circle,5,0,0,3,6.208,7.888,12.686,1.442,1.693,2.846,0.173,0.239,1.1,1.997
Uji_2_Speed,circle,9,0,0,1,8.701,12.485,24.693,2.72,3.227,5.314,0.304,0.405,1.6,3.613
Uji_2_Speed,circle,9,0,0,2,7.956,11.876,24.398,2.647,3.166,5.36,0.272,0.402,1.8,3.436
Uji_2_Speed,circle,9,0,0,3,8.016,11.91,23.992,2.631,3.119,5.162,0.289,0.4,1.8,3.351
Uji_2_Speed,circle,13,0,0,1,9.365,15.485,41.41,4.067,4.883,8.402,0.793,0.973,2.7,4.364
Uji_2_Speed,circle,13,0,0,2,10.022,16.048,38.184,4.125,4.804,7.642,0.854,0.993,2.617,4.126
Uji_2_Speed,circle,13,0,0,3,9.673,15.832,39.542,4.116,4.883,7.708,0.735,0.9,2.8,4.302
Uji_2_Speed,square,1,0,0,1,2.005,2.322,11.349,1.263,1.4,2.6,0.584,0.698,1.5,1.729
Uji_2_Speed,square,1,0,0,2,2.013,2.324,11.136,1.299,1.474,2.8,0.564,0.674,1.4,1.867
Uji_2_Speed,square,1,0,0,3,2.034,2.333,10.759,1.257,1.388,2.6,0.562,0.68,1.4,1.72
Uji_2_Speed,square,5,0,0,1,6.522,7.891,12.232,1.307,1.483,2.8,0.543,0.659,1.5,1.897
Uji_2_Speed,square,5,0,0,2,6.067,7.6,12.108,1.32,1.478,2.7,0.553,0.672,1.5,1.88
Uji_2_Speed,square,5,0,0,3,6.163,7.65,12.081,1.349,1.537,2.8,0.535,0.652,1.4,1.987
Uji_2_Speed,square,9,0,0,1,7.961,11.059,21.303,1.271,1.455,2.8,0.539,0.646,1.4,1.861
Uji_2_Speed,square,9,0,0,2,8.227,11.236,21.557,1.256,1.439,2.8,0.537,0.642,1.4,1.833
Uji_2_Speed,square,9,0,0,3,7.245,10.573,21.29,1.29,1.44,2.6,0.568,0.684,1.5,1.808
Uji_2_Speed,square,13,0,0,1,8.297,13.158,31.751,1.318,1.495,2.7,0.554,0.667,1.4,1.907
Uji_2_Speed,square,13,0,0,2,8.883,13.736,32.458,1.939,2.33,3.7,0.484,0.567,1.2,3.217
Uji_2_Speed,square,13,0,0,3,8.77,13.611,31.195,2.012,2.429,3.8,0.511,0.568,1.1,3.363
Uji_2_Speed,triangle,1,0,0,1,1.981,2.372,11.068,2.015,2.251,3.13,0.336,0.372,0.806,3.112
Uji_2_Speed,triangle,1,0,0,2,1.968,2.364,11.018,1.974,2.223,3.176,0.353,0.393,1.432,3.097
Uji_2_Speed,triangle,1,0,0,3,2.007,2.39,11.068,2.035,2.299,3.176,0.318,0.359,1.253,3.225
Uji_2_Speed,triangle,5,0,0,1,5.48,7.167,11.855,1.362,1.439,2.46,0.4,0.485,1.208,1.929
Uji_2_Speed,triangle,5,0,0,2,5.699,7.307,11.991,1.354,1.436,2.46,0.37,0.456,1.204,1.936
Uji_2_Speed,triangle,5,0,0,3,5.454,7.171,11.952,1.378,1.454,2.46,0.411,0.497,1.208,1.941
Uji_2_Speed,triangle,9,0,0,1,6.991,10.194,21.359,2.119,2.383,3.362,0.35,0.39,1.342,3.274
Uji_2_Speed,triangle,9,0,0,2,6.978,10.271,21.859,2.107,2.364,3.22,0.305,0.341,0.894,3.242
Uji_2_Speed,triangle,9,0,0,3,7.181,10.411,21.561,2.035,2.286,3.176,0.315,0.354,0.894,3.17
Uji_2_Speed,triangle,13,0,0,1,7.523,12.451,30.898,2.089,2.349,3.312,0.339,0.384,1.03,3.241
Uji_2_Speed,triangle,13,0,0,2,7.381,12.196,31.16,2.033,2.292,3.311,0.312,0.359,1.389,3.151
Uji_2_Speed,triangle,13,0,0,3,7.048,12.115,31.251,2.07,2.325,3.265,0.305,0.345,0.894,3.193
