Uji,Shape,Speed_cm_s,Pitch,Roll,Iter,ROS_MAE_mm,ROS_RMSE_mm,ROS_MaxErr_mm,CV_Abs_MAE_mm,CV_Abs_RMSE_mm,CV_Abs_MaxErr_mm,CV_Shape_MAE_mm,CV_Shape_RMSE_mm,CV_Shape_MaxErr_mm,CV_Offset_mm
Uji_3_Angle,circle,5,-15,0,1,21.212,35.811,90.006,2.354,3.054,6.586,0.617,0.722,1.476,3.512
Uji_3_Angle,circle,5,-15,0,2,16.661,29.012,89.715,2.208,2.836,6.081,0.539,0.624,1.3,3.355
Uji_3_Angle,circle,5,-15,0,3,27.936,44.492,94.942,2.644,3.557,7.852,0.867,0.999,2.059,3.968
Uji_3_Angle,circle,5,-15,35,1,6.929,8.304,12.71,2.357,2.63,4.301,0.297,0.386,1.487,3.463
Uji_3_Angle,circle,5,-15,35,2,5.87,7.625,12.428,2.284,2.528,4.1,0.369,0.45,1.131,3.357
Uji_3_Angle,circle,5,-15,35,3,6.094,7.781,12.683,2.332,2.613,4.61,0.322,0.404,1.1,3.417
Uji_3_Angle,circle,5,-10,-35,1,5.619,7.251,13.276,1.933,2.157,4.342,0.427,0.556,2.121,2.84
Uji_3_Angle,circle,5,-10,-35,2,5.992,7.571,12.795,1.906,2.172,3.764,0.303,0.364,1.4,2.944
Uji_3_Angle,circle,5,-10,-35,3,5.95,7.745,19.761,2.012,2.257,4.342,0.387,0.507,1.86,2.922
Uji_3_Angle,circle,5,-10,0,1,5.968,7.824,15.805,1.993,2.294,3.785,0.219,0.28,1.0,3.039
Uji_3_Angle,circle,5,-10,0,2,6.341,8.3,17.193,2.044,2.331,3.981,0.187,0.266,1.4,3.046
Uji_3_Angle,circle,5,-10,0,3,6.682,8.474,17.021,2.081,2.377,4.031,0.179,0.255,1.5,3.145
Uji_3_Angle,circle,5,-5,0,1,6.19,7.74,12.454,2.142,2.426,4.05,0.18,0.223,0.86,3.234
Uji_3_Angle,circle,5,-5,0,2,5.993,7.566,12.542,2.015,2.278,3.86,0.206,0.259,0.849,3.018
Uji_3_Angle,circle,5,-5,0,3,5.82,7.495,12.213,2.214,2.489,4.1,0.234,0.311,1.5,3.303
Uji_3_Angle,circle,5,0,-45,1,7.334,15.668,209.352,1.755,2.086,6.859,0.749,1.076,4.751,2.26
Uji_3_Angle,circle,5,0,-45,2,6.518,14.783,210.229,1.643,1.898,7.658,0.92,1.324,9.621,1.857
Uji_3_Angle,circle,5,0,-45,3,6.835,10.168,131.823,1.67,1.901,4.052,0.674,0.868,4.243,2.223
Uji_3_Angle,circle,5,0,-40,1,6.389,7.777,12.452,2.059,2.305,3.754,0.355,0.425,1.603,2.938
Uji_3_Angle,circle,5,0,-40,2,6.214,7.727,11.988,2.045,2.301,3.821,0.376,0.446,1.7,2.945
Uji_3_Angle,circle,5,0,-40,3,6.227,7.751,12.255,2.045,2.305,4.328,0.391,0.463,1.5,2.977
Uji_3_Angle,circle,5,0,-35,1,6.196,7.594,11.619,1.989,2.259,3.905,0.282,0.338,0.8,2.936
Uji_3_Angle,circle,5,0,-35,2,6.023,7.498,11.71,1.955,2.195,3.78,0.28,0.356,1.4,2.924
Uji_3_Angle,circle,5,0,-35,3,6.372,7.741,12.171,2.009,2.271,4.469,0.284,0.35,1.6,2.987
Uji_3_Angle,circle,5,0,-30,1,5.284,7.034,12.139,2.02,2.261,3.758,0.342,0.409,1.3,3.083
Uji_3_Angle,circle,5,0,-30,2,5.647,7.339,12.136,2.151,2.398,4.455,0.429,0.503,1.5,3.102
Uji_3_Angle,circle,5,0,-30,3,5.399,7.126,12.314,2.102,2.347,4.244,0.387,0.462,1.5,3.12
Uji_3_Angle,circle,5,0,-25,1,6.314,7.706,11.973,2.39,2.715,5.092,0.232,0.305,1.393,3.393
Uji_3_Angle,circle,5,0,-25,2,6.079,7.569,11.901,2.236,2.518,4.64,0.235,0.295,1.3,3.274
Uji_3_Angle,circle,5,0,-25,3,6.391,7.786,11.935,2.188,2.482,4.08,0.252,0.319,1.4,3.334
Uji_3_Angle,circle,5,0,-20,1,5.686,7.316,11.927,2.213,2.521,4.244,0.211,0.284,1.5,3.328
Uji_3_Angle,circle,5,0,-20,2,5.571,7.235,12.871,2.299,2.596,4.46,0.241,0.308,1.4,3.417
Uji_3_Angle,circle,5,0,-20,3,5.737,7.327,12.222,2.295,2.612,4.841,0.214,0.286,1.3,3.445
Uji_3_Angle,circle,5,0,-15,1,6.022,7.591,15.414,2.197,2.496,4.317,0.228,0.29,1.5,3.325
Uji_3_Angle,circle,5,0,-15,2,6.559,7.876,12.305,2.235,2.527,4.148,0.201,0.263,0.9,3.404
Uji_3_Angle,circle,5,0,-15,3,5.79,7.356,12.032,2.272,2.574,4.201,0.205,0.259,1.4,3.389
Uji_3_Angle,circle,5,0,-10,1,5.922,7.376,11.941,1.979,2.244,3.764,0.212,0.285,1.6,2.976
Uji_3_Angle,circle,5,0,-10,2,6.268,7.783,11.977,1.988,2.266,3.828,0.203,0.263,1.4,2.96
