time,ref_p_x,ref_p_y,ref_p_z,ref_p_roll,ref_p_pitch,ref_p_yaw,ref_p_qx,ref_p_qy,ref_p_qz,ref_p_qw,act_p_x,act_p_y,act_p_z,act_p_roll,act_p_pitch,act_p_yaw,act_p_qx,act_p_qy,act_p_qz,act_p_qw,ref_t_vx,ref_t_vy,ref_t_vz,ref_t_wx,ref_t_wy,ref_t_wz,act_t_vx,act_t_vy,act_t_vz,act_t_wx,act_t_wy,act_t_wz,cmd_t_vx,cmd_t_vy,cmd_t_vz,cmd_t_wx,cmd_t_wy,cmd_t_wz,wb_p_eskf_x,wb_p_eskf_y,wb_p_eskf_z,wb_p_eskf_roll,wb_p_eskf_pitch,wb_p_eskf_yaw,wb_p_eskf_qx,wb_p_eskf_qy,wb_p_eskf_qz,wb_p_eskf_qw,wb_t_raw_vx,wb_t_raw_vy,wb_t_raw_vz,wb_t_raw_wx,wb_t_raw_wy,wb_t_raw_wz,wb_t_eskf_vx,wb_t_eskf_vy,wb_t_eskf_vz,wb_t_eskf_wx,wb_t_eskf_wy,wb_t_eskf_wz,js_j1_v,js_j2_v,js_j3_v,js_j4_v,js_j5_v,js_j6_v,time_norm,tracking_error_pos_mm,tracking_error_ori_deg
1782097868.7996275,-0.0909103271509825,0.8175089554456624,0.3838624710687076,-0.04884074709661612,0.03697703150600984,-0.05509359021207336,-0.02389545677896872,0.019147374505096817,-0.027079138421758932,0.9991642034506747,-0.09091276339534271,0.8175361264664552,0.3838532702105024,-0.04908412675863426,0.0369424909687428,-0.054985722383888755,-0.024018559914198784,0.019132118876873504,-0.027023351805213484,0.9991630543930959,-0.00014208878938687508,-0.00010132778971442253,0.00013093256627728166,0.001313404401888149,0.0003910114503510371,-0.0010254386073071853,0.00014635649197770298,0.0001816019541297269,9.432556540296493e-05,0.0010154805354656738,0.00010733395692244863,-0.000717702853407247,-0.0009260604516021348,-0.0023667947424157714,0.0007789690623831297,0.013810331206913858,0.003057750740444023,-0.006396929401322262,-0.09377032621163121,0.8141247546204359,0.31150030473415236,-0.04886434801232041,0.0369679055105901,-0.05503528556260677,-0.023907933056885274,0.019142437876649997,-0.027049898259312588,0.9991647914157958,0.0003112182718534671,0.00046620515654078855,-0.0011435864518833886,0.007318545019440247,0.0008777051310651183,0.0022078868057868045,3.718424573047991e-06,-4.739795850928108e-05,0.00014635124093196095,0.0007367211991867235,0.0001489535685168525,4.1901274954164475e-05,0.0,-0.0001587255568909347,0.0,0.0003561094632272886,-0.0014244378529091543,-0.00016595310299161428,0.0,0.028789849760291197,0.015586382731093671
1782097868.8096385,-0.09090041526314206,0.8175151922096385,0.38386500936342954,-0.048873654615164595,0.036964306836030136,-0.05501229415738528,-0.02391285285597265,0.019140491204710675,-0.027038367919456397,0.9991650232694214,-0.09091276339534271,0.8175361264664552,0.3838532702105024,-0.04908412675863426,0.0369424909687428,-0.054985722383888755,-0.024018559914198784,0.019132118876873504,-0.027023351805213484,0.9991630543930959,6.121491535105537e-05,-2.61316853371032e-05,0.00015243132202682046,0.000509316398385386,5.350233265105647e-05,0.00046278784174850064,-7.284429691721745e-05,0.00018489438570801735,0.0004033083552498335,0.0017115226978802734,0.0002853189975401322,-0.0004642482288449455,0.0012117144771479108,-0.0017193898474605295,-0.00018652392111535255,0.006400628545310742,0.00043076131142683413,0.002171463811224901,-0.09376883553146671,0.8141277597927131,0.31149991825674583,-0.04888042979577322,0.03697440777566075,-0.055028080366957256,-0.023915945352106487,0.019145817714900138,-0.027046063656113117,0.9991646388829734,-0.0015436683393372738,7.045400160885494e-05,-0.0003791306735176776,-0.002189308700756027,0.007155517800800164,-0.013269785881764019,2.8855816062625746e-05,9.082178414033749e-06,0.0001192793413265124,0.00035880812384269246,0.00022639215754230953,0.00016803497842163485,0.00016309577887867709,0.0,0.0,0.0,-0.0019412648066476925,0.0005168269537385382,0.010010957717895508,0.026991242816124448,0.012274375761711434
1782097868.8196337,-0.09090178722124122,0.8175192802784236,0.38386300087309533,-0.04888519989646342,0.03698151939406413,-0.05503919472885031,-0.023918122639885905,0.01914956787174448,-0.027051481879014974,0.9991643682537215,-0.09091276339534271,0.8175361264664552,0.3838532702105024,-0.04908412675863426,0.0369424909687428,-0.054985722383888755,-0.024018559914198784,0.019132118876873504,-0.027023351805213484,0.9991630543930959,6.0732260821882295e-06,3.387467997034262e-05,9.593851911751607e-05,0.00025284200046560035,0.0003481161263455899,-3.94872882175059e-05,0.00022189690065129166,0.0001850605679132741,0.00039264889031736546,0.002583415525635282,0.0004874015898066894,-0.0012161908844598175,-0.0003604679057918625,-0.001361007540781899,-0.0005600550924776454,0.0015167796567037578,0.0018713971080659027,0.0019209344359846314,-0.09376962050461282,0.8141308327347948,0.311499308403856,-0.048916753817020035,0.03700220748271707,-0.05504407715120056,-0.02393355044712402,0.019160388243286586,-0.027053360721959765,0.999163740403524,0.0004825996594860577,0.000416177662148751,0.0002542181051020522,-0.0047054525304925585,0.0011832972895736002,0.00410855397841069,1.1224814942675388e-05,5.779874130740304e-05,8.923468134384816e-05,-0.00028712498900020236,0.0006555152853160116,-9.879892655931456e-05,0.0001386494191094321,0.0,0.0003561094632272886,0.0001661047496261514,-0.0030388804194194457,0.0007122189264545771,0.020006179809570312,0.022337328479507552,0.0121191833590766
1782097868.8296418,-0.09089857612387763,0.8175255157157114,0.3838630281809459,-0.048936251758496065,0.0370149911601394,-0.05504709411972832,-0.023943083667634372,0.019167074416267794,-0.027054521705100185,0.999163352439487,-0.09091276339534271,0.8175361264664552,0.3838532702105024,-0.04908412675863426,0.0369424909687428,-0.054985722383888755,-0.024018559914198784,0.019132118876873504,-0.027023351805213484,0.9991630543930959,1.440810805929717e-05,7.25820056241715e-05,8.509221554974204e-05,-0.0006207838362644485,0.0008454647656232061,-0.00013544904270448876,0.00013897847842284566,0.00021635737809107118,0.0007122395715224227,0.0034328726753282564,0.00032122996606828225,-0.0013602065905025985,0.0002509606019823787,-0.000928239042746006,-0.0019317180814033199,-0.007435563791470592,0.005655781985836058,0.0017131768476178813,-0.09376912766172418,0.8141359409554018,0.3114989550553572,-0.04895094233332789,0.03701838998728377,-0.055042378051330436,-0.023950420495979598,0.019168914605169136,-0.027051982418558516,0.9991632100379834,5.522613170434485e-05,0.001015482298474732,-0.00014541288981006546,0.004677206765219184,-0.006445937989858442,0.0037936376925185814,1.7223264631313242e-05,0.00013085425593519656,6.738794085495706e-05,-0.0007911938023770715,0.0007975164245250315,-3.9559792612641216e-05,0.00029724839492525733,2.9232939075391742e-05,0.0003561094632272886,0.00019556555155484428,-0.003917204095500174,0.0003561094632272886,0.0300142765045166,0.020225842136925264,0.01017880442425224
1782097868.8396115,-0.09089779624581351,0.8175326520549924,0.38386229465292804,-0.048956650377126446,0.03701971060641718,-0.05504054561622969,-0.02395327123109489,0.01916962961319072,-0.02705099577515192,0.999163154707676,-0.09091276339534271,0.8175361264664552,0.3838532702105024,-0.04908412675863426,0.0369424909687428,-0.054985722383888755,-0.024018559914198784,0.019132118876873504,-0.027023351805213484,0.9991630543930959,1.831709773156946e-05,0.0001534960218853467,6.0508919677347824e-05,-0.000857406837701795,0.0007788860282206445,-2.301887758668949e-06,0.00010157545020923536,0.0001807778583402308,0.0004311725254133386,0.002602671825418014,3.892563406733913e-05,-0.001101106762763454,0.0004302821796206208,-0.00010343406219427158,-0.0006741956589535936,-0.0060530094797035215,0.006847637199293058,0.0015527146540727013,-0.09376881285158425,0.8141407138373533,0.31149833279437916,-0.048967844329850005,0.03702174085062419,-0.055036646604962505,-0.023958872517902963,0.01917074855155651,-0.02704891525167807,0.9991630552603497,0.0002532014202707173,0.0007651809619351275,0.00011240058744011066,0.001232651898283703,-0.004897501573371984,0.0039274110720796005,1.9551941922123198e-05,0.00018757630700441409,4.610945196821041e-05,-0.0009416468409346073,0.0007166682417173715,6.340108457544704e-05,0.00029724839492525733,0.0,0.0001988299705024876,0.0003561094632272886,-0.003204985169045597,0.0,0.03998398780822754,0.017819305854495152,0.009191548010604686
1782097868.8496277,-0.09089726471953376,0.8175381855194253,0.3838616226739991,-0.04897213080541743,0.037022518287549655,-0.055035153565198405,-0.023961017406276347,0.01917117702415103,-0.02704811856142412,0.9991630171792049,-0.09090700268780838,0.8175471356935842,0.38387560127083087,-0.04897256602118705,0.03696342092317617,-0.05502976379787941,-0.023962112414990966,0.019141595113249834,-0.027046159859908398,0.9991636110977842,2.00247980778619e-05,0.0002006265952360449,4.0595495634518616e-05,-0.0009739046791240723,0.0006928433222906412,8.856057850689168e-05,-2.7182010403578476e-05,0.00020185915753476738,0.00038128042194587045,0.0019120667649121638,-5.486596682433924e-05,-0.0004430893444933031,0.0008161703928796987,-0.0004090765383193695,-0.002191452308758869,-0.010896149482970042,0.005902152610366021,0.0015306198370026718,-0.09376858265854215,0.8141443501658769,0.3114977638463311,-0.04898035000268833,0.037023504386901676,-0.055032015235854125,-0.023965139866119946,0.019171743197813253,-0.027046459605317985,0.9991629523502158,0.0004520999243830636,0.0005137123984817767,0.0003714163228704997,-0.002227965915826361,-0.003341844353814576,0.004061808275273066,2.0110693912461145e-05,0.00021634251801939776,2.9202860813588964e-05,-0.0009946313618307548,0.0006240018681167314,0.00013016412727538275,0.00015497867621399998,-0.00014226971871125735,0.00017044194023823906,-0.0001856675229890495,-0.0021366567793637313,0.0003561094632272886,0.05000019073486328,0.019244085142657606,0.003400257064130581
1782097868.8596272,-0.09089693020052456,0.8175423376701119,0.38386102773548597,-0.04898345110088722,0.03702387644159577,-0.055030831146075494,-0.023966695267745506,0.01917195681479631,-0.027045833682174492,0.9991629278902768,-0.09090700268780838,0.8175471356935842,0.38387560127083087,-0.04897256602118705,0.03696342092317617,-0.05502976379787941,-0.023962112414990966,0.019141595113249834,-0.027046159859908398,0.9991636110977842,2.0143102359319073e-05,0.00022227212625621035,2.490442653108287e-05,-0.0010024515267802498,0.0005980280287608799,0.00014586112126415378,1.4061796569640296e-05,0.00012459151557429808,0.00023742793515252504,0.0010133556754523267,0.00033992653418924915,-0.00023839470946951724,0.000495261182495042,0.00019187017482819106,-0.0014780306610732642,-0.008230646018309248,0.0041046536807270596,0.0016405087732455728,-0.09375962979936796,0.8141505201799026,0.3114956740790972,-0.048993636887376915,0.037021930888955404,-0.054962853124963,-0.023972462666521116,0.019170307759763774,-0.027011799776621357,0.9991637416152099,0.002718356793820078,0.0008612184190359212,-0.0016367717029409632,0.0023272783257336227,0.00924110751883958,0.018119133632881874,0.0001635868239789159,0.00028198892771109387,-9.849631629041679e-06,-0.0010911939114119648,0.00044033567503196764,0.0012392687188292988,0.0,0.0,0.0,-0.0003561094632272886,-0.0009023873536952447,0.0007122189264545771,0.059999704360961914,0.018353854139460373,0.003519674996585057
1782097868.8696237,-0.09088515289391166,0.8175508618195847,0.3838583188676571,-0.04899745922934269,0.037021200796339526,-0.05493734353440652,-0.023974626954020722,0.01916968893153081,-0.026999028133941998,0.9991640469755236,-0.09090700268780838,0.8175471356935842,0.38387560127083087,-0.04897256602118705,0.03696342092317617,-0.05502976379787941,-0.023962112414990966,0.019141595113249834,-0.027046159859908398,0.9991636110977842,0.00021741584910400333,0.0003043983937344965,-2.2891520453296184e-05,-0.00112449558539299,0.00038115967502955184,0.0016495834009691045,0.00010892008945786292,-4.008366716608132e-05,-0.00011267426723862833,0.000103051976307184,0.0006517900002198522,-0.0001620768279542111,0.0012877789093941204,0.0016843517314108665,-0.00022832313023722829,-0.006196952784170911,0.0014912584911701955,0.012216066704216521,-0.09375565632251602,0.8141606317856204,0.31149948958785756,-0.04904588920390587,0.03701736126411115,-0.05493903157676237,-0.02399885908377859,0.01916844485696327,-0.026999455286772382,0.9991634774404006,-0.002557780540747142,0.001390139272987798,0.00209054191462173,-0.01725289356697333,0.0017386602386609599,-0.022000397970780655,0.0002027384887136138,0.0004026914483997552,5.4230935032121724e-05,-0.0017876841107568008,0.00027566451310162,0.0014285107156155653,-0.00020446270762738267,0.0,0.00013379128178089576,-0.000467268553950485,-0.00013379128178089576,0.0010683283896818657,0.06999611854553223,0.02810656449589394,0.006449240883298469
1782097868.8796282,-0.09088437201711735,0.8175674132433095,0.3838645432608968,-0.04906626112241472,0.037015746176794595,-0.054939741646540946,-0.024009052253962455,0.01916792154085713,-0.02699963496728492,0.9991632378672183,-0.09090700268780838,0.8175471356935842,0.38387560127083087,-0.04897256602118705,0.03696342092317617,-0.05502976379787941,-0.023962112414990966,0.019141595113249834,-0.027046159859908398,0.9991636110977842,0.0001965645026131688,0.0004440381168150751,8.667225660046951e-05,-0.0020666523058998315,0.0002312883006163205,0.0013355171765692317,-0.000154740543071075,-2.1345325792915703e-05,-5.0490719470466615e-05,-0.00018512890562201765,0.0008225499963992231,0.00021963137104294715,0.002425725048157129,0.002826639211412985,1.3186074133658992e-05,-0.01215741677226952,0.00031640822440697684,0.008778749863874214,-0.09376068820741781,0.8141694805434231,0.31150546838056603,-0.049143394019136505,0.03702960583420101,-0.054995862449102345,-0.024046854809426817,0.01917656189312062,-0.027026758755122712,0.9991614291814961,-0.0017908598241083262,-0.00025050989067613923,0.0003832879133639901,-0.016999516969805162,0.0065813761156466,-0.016889756704422575,8.736720025432757e-05,0.0004825585273043538,0.0001435180413084257,-0.003062441934920509,0.00047713290885729857,0.0002766826317033451,0.0,0.0,0.0,-0.00019150011906721984,0.00019150011906721984,0.0010683283896818657,0.08000063896179199,0.032335829392345375,0.008152232436868538
1782097868.890017,-0.0908898717409655,0.8175829852122167,0.38386996585956884,-0.049177612659306834,0.0370357544251374,-0.055020759446758806,-0.02406362524199101,0.019180395031996707,-0.02703879174202615,0.9991606267901878,-0.09090700268780838,0.8175471356935842,0.38387560127083087,-0.04897256602118705,0.03696342092317617,-0.05502976379787941,-0.023962112414990966,0.019141595113249834,-0.027046159859908398,0.9991636110977842,3.892375581242017e-05,0.0004996474235051467,0.00016873666442245673,-0.0035042063240330493,0.0005861975044416056,-0.0001930505149894486,-8.121760214765892e-05,0.00010012903401943724,0.00014850333002075107,-0.0002671860395052885,0.0004773782039966558,0.0002138302610003419,0.0007563708368738738,0.003151038009406756,-0.00017353165421651632,-0.022151609161626663,0.0039039675537486493,-0.0006416604279637467,-0.0937626959809522,0.8141762439823804,0.3115141881587865,-0.049287022239996287,0.03703474424081412,-0.05503061181834253,-0.02411820369084577,0.01918148839225117,-0.027042677175880683,0.9991591841909085,0.001971881988386877,-1.210884662574286e-06,0.0007791705226610512,-0.01201650411584371,-0.003400772242660359,0.01605796093405373,3.9777310172221724e-05,0.0005098313761442491,0.0002614258952091491,-0.004862439352347303,0.0005057571052087904,-0.0003314273695859257,-0.00029724839492525733,-0.0002478546093830131,-0.0002969347300529168,5.91747331743718e-05,0.0006530441932802054,0.0007122189264545771,0.09038949012756348,0.04012997864455082,0.012486527936920974
